date,compensar comida,treino para emagrecer,como queimar calorias,treinar pra comer,culpa depois de comer,mes,mes_nome
2019-01-01,0,76,6,0,0,1,Jan
2019-02-01,0,53,4,0,0,2,Feb
2019-03-01,0,43,3,0,0,3,Mar
2019-04-01,0,42,3,0,0,4,Apr
2019-05-01,0,44,3,0,0,5,May
2019-06-01,0,46,4,1,0,6,Jun
2019-07-01,0,49,4,0,0,7,Jul
2019-08-01,0,52,5,0,0,8,Aug
2019-09-01,0,56,3,0,0,9,Sep
2019-10-01,0,53,4,0,0,10,Oct
2019-11-01,0,48,4,0,0,11,Nov
2019-12-01,0,35,3,0,0,12,Dec
2020-01-01,0,72,5,0,0,1,Jan
2020-02-01,0,48,4,0,0,2,Feb
2020-03-01,0,43,5,0,0,3,Mar
2020-04-01,0,36,4,0,0,4,Apr
2020-05-01,0,40,5,0,0,5,May
2020-06-01,0,44,5,0,0,6,Jun
2020-07-01,0,55,6,1,0,7,Jul
2020-08-01,0,57,7,0,0,8,Aug
2020-09-01,0,75,6,2,0,9,Sep
2020-10-01,0,65,6,0,0,10,Oct
2020-11-01,0,56,5,0,0,11,Nov
2020-12-01,2,40,5,0,0,12,Dec
2021-01-01,0,77,5,1,0,1,Jan
2021-02-01,0,54,5,0,0,2,Feb
2021-03-01,0,44,7,0,0,3,Mar
2021-04-01,0,52,6,2,0,4,Apr
2021-05-01,0,49,5,0,0,5,May
2021-06-01,0,49,6,0,0,6,Jun
2021-07-01,0,56,7,3,0,7,Jul
2021-08-01,0,66,6,2,0,8,Aug
2021-09-01,0,61,6,1,0,9,Sep
2021-10-01,0,57,6,0,0,10,Oct
2021-11-01,0,48,4,0,0,11,Nov
2021-12-01,0,36,3,2,0,12,Dec
2022-01-01,0,75,6,2,0,1,Jan
2022-02-01,0,64,6,2,0,2,Feb
2022-03-01,0,58,5,2,0,3,Mar
2022-04-01,0,54,6,2,0,4,Apr
2022-05-01,0,55,5,2,0,5,May
2022-06-01,0,48,6,1,0,6,Jun
2022-07-01,0,69,5,3,0,7,Jul
2022-08-01,0,75,6,2,0,8,Aug
2022-09-01,0,63,5,2,0,9,Sep
2022-10-01,0,62,4,1,0,10,Oct
2022-11-01,0,59,4,2,0,11,Nov
2022-12-01,0,45,5,3,0,12,Dec
2023-01-01,0,100,7,3,1,1,Jan
2023-02-01,0,75,5,4,0,2,Feb
2023-03-01,0,72,6,3,0,3,Mar
2023-04-01,0,60,5,2,0,4,Apr
2023-05-01,0,57,5,2,0,5,May
2023-06-01,0,52,4,1,0,6,Jun
2023-07-01,0,62,4,3,0,7,Jul
2023-08-01,0,68,4,3,0,8,Aug
2023-09-01,0,66,4,3,0,9,Sep
2023-10-01,0,64,4,3,0,10,Oct
2023-11-01,0,55,5,1,0,11,Nov
2023-12-01,0,43,4,2,0,12,Dec
2024-01-01,0,82,7,4,0,1,Jan
2024-02-01,0,48,3,2,0,2,Feb
2024-03-01,0,46,4,2,0,3,Mar
2024-04-01,0,45,4,2,0,4,Apr
2024-05-01,0,37,4,2,0,5,May
2024-06-01,0,40,3,2,0,6,Jun
2024-07-01,0,38,3,2,0,7,Jul
2024-08-01,0,41,3,2,0,8,Aug
2024-09-01,0,48,5,3,0,9,Sep
2024-10-01,0,43,5,2,0,10,Oct
2024-11-01,0,38,3,3,0,11,Nov
2024-12-01,0,28,5,2,0,12,Dec
